brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
Dr. Althea,Dr. Althea - 345 Relief Cream,US$ 24.30,"Shield your skin from environmental damage with this antioxidant-rich cream featuring resveratrol, turmeric extract and Vitamin E. Adenosine and niacinamide provide anti-aging and brightening effects. It contains nourishing and soothing ingredients including heartleaf extract and evening primrose flower extract. Fragrance-free formula is gentle on skin.","Water, Propanediol, Glycerin, Cyclohexasiloxane, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Niacinamide, Panthenol, Polyglycerin-3, Polyglyceryl-10 Stearate, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Laminaria Japonica Extract, Eclipta Prostrata Leaf Extract, Melia Azadirachta Flower Extract, Houttuynia Cordata Extract, Melia Azadirachta Leaf Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Calendula Officinalis Flower Extract, Agave Tequilana Leaf Extract, Sargassum Fulvellum Extract, Corallina Officinalis Extract, Lavandula Angustifolia (Lavender) Flower Extract, Centella Asiatica Leaf Extract, Opuntia Ficus-Indica Stem Extract, Gardenia Florida Fruit Extract, Perilla Ocymoides Leaf Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Hydrogenated Lecithin, Empetrum Nigrum Fruit Juice, Dicaprylyl Carbonate, C14-22 Alcohols, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polymethylsilsesquioxane, Dipropylene Glycol, Butylene Glycol, C12-20 Alkyl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Polyquaternium-51, Tromethamine, Fructooligosaccharides, Adenosine, Beta-Glucan, Glycine Soja (Soybean) Sterols, PEG-40 Castor Oil, Hydrolyzed Hyaluronic Acid, Resveratrol, Tocopherol, Ceramide Np, Oligopeptide-1, Phenoxyethanol, Potassium Sorbate",,"4,226"
APLB,APLB - Glutathione Niacinamide Sheet Mask,US$ 0.99,"Perk up dull skin instantly with this sheet mask drenched in essence containing 1,000ppm of glutathione and 1,000ppm of niacinamide for a powerful radiance boost. The formula contains 13.5% cica extract to tamp down irritation. The cellulose mask sheet adheres firmly to enable swift delivery of active ingredients into skin. Suitable for sensitive skin.","Water, Centella Asiatica Extract (13.5%), Butylene Glycol, Dipropylene Glycol, Nelumbo Nucifera Extract, Artemisia Annua Extract, Oryza Sativa (Rice) Extract, Saccharomyces Ferment, Niacinamide (1,000ppm), Glutathione (1,000ppm), Solanum Melongena (Eggplant) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hydrolyzed Collagen, Beta-Glucan, Hippophae Rhamnoides Fruit Extract, Sodium Hyaluronate, Madecassic Acid, Asiaticoside, Asiatic Acid, Squalane, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Glyceryl Stearate, Cholesterol, Propanediol, Disodium EDTA, Glyceryl Acrylate/Acrylic Acid Copolymer, Cellulose Gum, Xanthan Gum, Inulin, Cellulose, Glucose, Fructose, Polyglucuronic Acid, Hydroxyethyl Urea, Ethylhexylglycerin, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Dipotassium Glycyrrhizate, 1,2-Hexanediol, Carbomer, Arginine",98%,"2,979"
Anua,Anua - Niacinamide 10 TXA 4 Serum,US$ 15.20,"Tackle hyperpigmentation with this serum formulated with 10% niacinamide and 4% tranexamic acid to fade dark spots and acne scars. It contains alpha-arbutin to brighten and even skin tone, as well as hyaluronic acid and botanical oils to moisturize and soothe skin.","Water, Glycerin, Niacinamide, Tranexamic Acid, Butylene Glycol, Diethoxyethyl Succinate, 1,2-Hexanediol, Arbutin, Sodium Hyaluronate, Alpha-Arbutin, Coccinia Indica Fruit Extract, Eclipta Prostrata Extract, Macadamia Integrifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Theobroma Cacao (Cocoa) Extract, Hydrolyzed Hyaluronic Acid, Chamaecyparis Obtusa Leaf Extract, Prunus Persica (Peach) Flower Extract, Camellia Sinensis Seed Oil, Yeast Ferment Extract, Centella Asiatica Extract, Artemisia Princeps Leaf Extract, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Hyaluronic Acid, Pentylene Glycol, Betaine Salicylate, Sucrose Palmitate, Hydrogenated Lecithin, Gellan Gum, Sodium Phytate, Cellulose, Caprylic/Capric Triglyceride, Panthenol, Cyanocobalamin, Polyglutamic Acid, 3-0-Ethyl Ascorbic Acid, Ceramide NP, Dextrin, Asiaticoside, Madecassic Acid, Asiatic Acid, Dimethylsilanol Hyaluronate, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate Dimethylsilanol, Sodium Acetylated Hyaluronate, Xanthan Gum",,"5,543"
SKIN 1004,SKIN 1004 - Madagascar Centella Tone Brightening Capsule Ampoule Jumbo,US$ 16.61,"Improve dull and tired skin with this lightweight yet powerful toner infused with MadeWhite™, an ingredient made of Madagascan cica extracts and niacinamide for brightening, hydration and skin-soothing benefits. Additional ingredients of papaya and apple extracts provide gentle exfoliation to reveal smooth, supple and even-toned skin.","Water, Butylene Glycol, Niacinamide, Glycerin, Tranexamic Acid, 1,2-Hexanediol, Betaine, Centella Asiatica Extract, Zea Mays (Corn) Starch, Xanthan Gum, Microcrystalline Cellulose, Mannitol, Panthenol, Pentylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Madecassoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Hydrogenated Lecithin, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment",98.10%,"5,883"
medicube,medicube - PDRN Pink Collagen Gel Mask,US$ 4.50,"Collagen gel mask packed with elasticity-boosting ingredients such as Salmon PDRN, hydrolyzed collagen and peptides reduce fine lines and wrinkles and smooth skin texture. The gel mask’s soft gel texture tightly hugs the face while delivering hydrating and cooling effects. This product is hypoallergenic and safe to use on sensitive skin.","Water, Glycerin, Methylpropanediol, Acrylates/Ethylhexyl Acrylate Copolymer, Niacinamide, Chondrus Crispus Powder, 1,2-Hexanediol, Butylene Glycol, Betaine, Ceratonia Siliqua (Carob) Gum, Hydroxyacetophenone, Allantoin, Glucomannan, Xanthan Gum, Laureth-21, Panthenol, Polyglyceryl-10 Laurate, Propanediol, Cellulose Gum, Cyamopsis Tetragonoloba (Guar) Gum, Fragrance(Parfum), Potassium Chloride, Dextrin, Adenosine, Ethylhexylglycerin, Hydrolyzed Collagen, Cyanocobalamin, Ascorbic Acid, Sodium DNA, Tocopherol, Acetyl Hexapeptide-8, Ascorbic Acid Polypeptide, Acetyl Octapeptide-3, Acetyl Tetrapeptide-2, Acetyl Tetrapeptide-3, Acetyl Tetrapeptide-5, Acetyl Tetrapeptide-9, Carnosine, Copper Tripeptide-1, Nonapeptide-1, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5",96%,262
Beauty of Joseon,Beauty of Joseon - Revive Eye Serum,US$ 15.30,Improve wrinkles around the sensitive eye area with this nourishing eye serum. It's formulated with retinol liposome to enhance skin elasticity and ginseng root extract to boost hydration. Non-sticky formula glides on smoothly and is absorbed quickly into skin.,"Water, Panax Ginseng Root Extract, Glycerin, Dipropylene Glycol, Caprylic/Capric Triglyceride, 1,2-Hexanediol, Pentaerythrityl Tetraethylhexanoate, Niacinamide, Butylene Glycol Dicaprylate/Dicaprate, Cetearyl Alcohol, Sorbitan Olivate, Cetearyl Olivate, Butylene Glycol, Hydrogenated Lecithin, Tromethamine, Carbomer, Glyceryl Stearate, Macadamia Ternifolia Seed Oil, Ethylhexylglycerin, Adenosine, Theobroma Cacao (Cocoa) Extract, Dextrin, Cholesterol, Polyglyceryl-10 Oleate, Disodum EDTA, Retinal, Brassica Campestris (Rapeseed) Sterols, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Silica, Sodium Hyaluronate, Tocopherol, Aluminum/Magnesium Hydroxide Stearate, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Ceramide NP, Palmitoyl Tripeptide-5",,"8,702"
Purito SEOUL,Purito SEOUL - Mighty Bamboo Panthenol Cream,US$ 16.10,"Repair a damaged skin barrier with this rich cream infused with Korean Damyang bamboo extract and 100,000ppm of soothing panthenol. The cream also contains hydrating ingredients such as squalane and sodium hyaluronate to boost skin moisture levels. Fragrance-free and hypoallergenic formula is suitable for all skin types including sensitive skin.","Water, Panthenol, Squalane, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Bambusa Vulgaris Extract, Hydrolyzed Jojoba Esters, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyacetophenone, Tromethamine, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Xanthan Gum, Disodium EDTA, Sodium Hyaluronate, Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid, Copper Tripeptide-1",96.30%,"3,879"
KSECRET,KSECRET - SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng,US$ 15.40,"Perfect for mature skin, this serum helps reduce signs of aging and improve skin elasticity. The anti-aging serum is enriched with 2% retinal liposome to combat wrinkles and pigmentation, as well as 58% black ginseng extract for antioxidant, anti-inflammatory and collagen-boosting properties.","Panax Ginseng Root Extract, Water, Glycerin, Dipropylene Glycol, Caprylic/ Capric Triglyceride, 1,2-Hexanediol, Niacinamide, Butylene Glycol, Methyl Gluceth-20, Polyglyce- ryl-3 Methylglucose Distearate, Hydrogenated Lecithin, Sorbitan Stearate, Ammonium Acryloyl- dimethyltaurate/VP Copolymer, Macadamia Ternifolia Seed Oil, Carbomer, Tromethamine, Betaine, Tocopherol, Ethylhexylglycerin, Helian- thus Annuus (Sunflower) Seed Oil, Adenosine, Disodium EDTA, Cholesterol, Polyglyceryl-10 Oleate, Brassica Campestris (Rapeseed) Sterols, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Retinal, Silica, Aluminum/Magnesium Hydroxide Stearate, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhy- drocinnamate, Arctium Lappa Root Extract, Cnidium Officinale Root Extract, Dioscorea Japonica Root Extract, Paeonia Suffruticosa Root Extract, Rehmannia Chinensis Root Extract, 3-0-Ethyl Ascorbic Acid, Bakuchiol, SH-Oligopep- tide-1, SH-Oligopeptide-2, SH-Polypeptide-1",98.30%,"1,490"
Anua,Anua - Azelaic Acid 10 Hyaluron Redness Soothing Serum,US$ 19.20,"This lightweight serum treats skin concerns like acne and rosacea, thanks to its formula rich in calming ingredients such as azelaic acid, panthenol, aloe juice, and centella extract. Niacinamide in the mix helps fade hyperpigmentation, while hyaluronic acid delivers long-lasting hydration.","Water, Azelaic Acid, Propylene Glycol, Sodium Hydroxide, Dipropylene Glycol, 1,2-Hexanediol, Panthenol, Hydroxyethylcellulose, Betaine Salicylate, Glycerin, Biosaccharide Gum-1, Ethylhexylglycerin, Allantoin, Dipotassium Glycyrrhizate, Melia Azadirachta Leaf Extract, Camellia Sinensis Leaf Water, Sodium Hyaluronate, Melia Azadirachta Flower Extract, Niacinamide, Aloe Barbadensis Leaf Juice, Beta-Glucan, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid, Squalane Zinc Pca, Butylene Glycol, Pentylene Glycol, Caprylyl/Capryl Glucoside, Hydrogenated Lecithin, Ceramide NP",95.70%,208
I'm from,I'm from - Rice Toner,US$ 19.60,"Packed with goami rice extracts, this hydrating toner provides anti-wrinkle and brightening care while delivering moisturizing benefits. Other key ingredients include rice bran extract, amaranthus caudatus seed extract and portulaca oleracea extract, which provide nourishing and soothing effects. Formula treats skin concerns such as dry or fatigued skin as well as aging skin with fine lines. Suitable for various skin types including sensitive skin.","Oryza Sativa (Rice) Extract (77.78%), Methylpropanediol, Triethylhexanoin, Hydrogenated Poly(C6-14 Olefin), Niacinamide, Pentylene Glycol, Portulaca Oleracea Extract, Oryza Sativa (Rice) Bran Extract, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Hydrogenated Lecithin, Water, Polyglyceryl-10 Myristate, Butylene Glycol, Adenosine, Cellulose Gum, Ethylhexylglycerin, 1,2-Hexanediol",96.80%,"10,342"
